field,DegreeLevel,SE_type,ethnicity_race,count
S&E occupations,bachelors,SE_field,hisp_lat,372000
S&E occupations,bachelors,SE_field,amer_ind_alaskan,NA
S&E occupations,bachelors,SE_field,asian,636000
S&E occupations,bachelors,SE_field,black_afri_amer,219000
S&E occupations,bachelors,SE_field,nat_hawaii_pacific_islander,11000
S&E occupations,bachelors,SE_field,white,2810000
S&E occupations,bachelors,SE_field,multi_race,109000
"Biological, agricultural, and other life scientists",bachelors,SE_field,hisp_lat,36000
"Biological, agricultural, and other life scientists",bachelors,SE_field,amer_ind_alaskan,1000
"Biological, agricultural, and other life scientists",bachelors,SE_field,asian,34000
"Biological, agricultural, and other life scientists",bachelors,SE_field,black_afri_amer,10000
"Biological, agricultural, and other life scientists",bachelors,SE_field,nat_hawaii_pacific_islander,NA
"Biological, agricultural, and other life scientists",bachelors,SE_field,white,187000
"Biological, agricultural, and other life scientists",bachelors,SE_field,multi_race,8000
Computer and mathematical scientists,bachelors,SE_field,hisp_lat,182000
Computer and mathematical scientists,bachelors,SE_field,amer_ind_alaskan,NA
Computer and mathematical scientists,bachelors,SE_field,asian,442000
Computer and mathematical scientists,bachelors,SE_field,black_afri_amer,144000
Computer and mathematical scientists,bachelors,SE_field,nat_hawaii_pacific_islander,NA
Computer and mathematical scientists,bachelors,SE_field,white,1547000
Computer and mathematical scientists,bachelors,SE_field,multi_race,69000
Physical and related scientists,bachelors,SE_field,hisp_lat,15000
Physical and related scientists,bachelors,SE_field,amer_ind_alaskan,NA
Physical and related scientists,bachelors,SE_field,asian,19000
Physical and related scientists,bachelors,SE_field,black_afri_amer,10000
Physical and related scientists,bachelors,SE_field,nat_hawaii_pacific_islander,NA
Physical and related scientists,bachelors,SE_field,white,141000
Physical and related scientists,bachelors,SE_field,multi_race,4000
Social and related scientists,bachelors,SE_field,hisp_lat,29000
Social and related scientists,bachelors,SE_field,amer_ind_alaskan,NA
Social and related scientists,bachelors,SE_field,asian,7000
Social and related scientists,bachelors,SE_field,black_afri_amer,6000
Social and related scientists,bachelors,SE_field,nat_hawaii_pacific_islander,NA
Social and related scientists,bachelors,SE_field,white,104000
Social and related scientists,bachelors,SE_field,multi_race,2000
Engineers,bachelors,SE_field,hisp_lat,110000
Engineers,bachelors,SE_field,amer_ind_alaskan,4000
Engineers,bachelors,SE_field,asian,134000
Engineers,bachelors,SE_field,black_afri_amer,49000
Engineers,bachelors,SE_field,nat_hawaii_pacific_islander,NA
Engineers,bachelors,SE_field,white,830000
Engineers,bachelors,SE_field,multi_race,25000
S&E-related occupations,bachelors,SE_field,hisp_lat,485000
S&E-related occupations,bachelors,SE_field,amer_ind_alaskan,11000
S&E-related occupations,bachelors,SE_field,asian,534000
S&E-related occupations,bachelors,SE_field,black_afri_amer,336000
S&E-related occupations,bachelors,SE_field,nat_hawaii_pacific_islander,25000
S&E-related occupations,bachelors,SE_field,white,3298000
S&E-related occupations,bachelors,SE_field,multi_race,105000
Non-S&E occupations,bachelors,SE_field,hisp_lat,2395000
Non-S&E occupations,bachelors,SE_field,amer_ind_alaskan,57000
Non-S&E occupations,bachelors,SE_field,asian,1522000
Non-S&E occupations,bachelors,SE_field,black_afri_amer,1838000
Non-S&E occupations,bachelors,SE_field,nat_hawaii_pacific_islander,64000
Non-S&E occupations,bachelors,SE_field,white,15944000
Non-S&E occupations,bachelors,SE_field,multi_race,583000
S&E occupations,masters,SE_field,hisp_lat,136000
S&E occupations,masters,SE_field,amer_ind_alaskan,3000
S&E occupations,masters,SE_field,asian,650000
S&E occupations,masters,SE_field,black_afri_amer,115000
S&E occupations,masters,SE_field,nat_hawaii_pacific_islander,5000
S&E occupations,masters,SE_field,white,1340000
S&E occupations,masters,SE_field,multi_race,37000
"Biological, agricultural, and other life scientists",masters,SE_field,hisp_lat,14000
"Biological, agricultural, and other life scientists",masters,SE_field,amer_ind_alaskan,NA
"Biological, agricultural, and other life scientists",masters,SE_field,asian,31000
"Biological, agricultural, and other life scientists",masters,SE_field,black_afri_amer,7000
"Biological, agricultural, and other life scientists",masters,SE_field,nat_hawaii_pacific_islander,NA
"Biological, agricultural, and other life scientists",masters,SE_field,white,97000
"Biological, agricultural, and other life scientists",masters,SE_field,multi_race,3000
Computer and mathematical scientists,masters,SE_field,hisp_lat,48000
Computer and mathematical scientists,masters,SE_field,amer_ind_alaskan,NA
Computer and mathematical scientists,masters,SE_field,asian,440000
Computer and mathematical scientists,masters,SE_field,black_afri_amer,60000
Computer and mathematical scientists,masters,SE_field,nat_hawaii_pacific_islander,NA
Computer and mathematical scientists,masters,SE_field,white,602000
Computer and mathematical scientists,masters,SE_field,multi_race,17000
Physical and related scientists,masters,SE_field,hisp_lat,6000
Physical and related scientists,masters,SE_field,amer_ind_alaskan,NA
Physical and related scientists,masters,SE_field,asian,10000
Physical and related scientists,masters,SE_field,black_afri_amer,6000
Physical and related scientists,masters,SE_field,nat_hawaii_pacific_islander,NA
Physical and related scientists,masters,SE_field,white,71000
Physical and related scientists,masters,SE_field,multi_race,2000
Social and related scientists,masters,SE_field,hisp_lat,26000
Social and related scientists,masters,SE_field,amer_ind_alaskan,NA
Social and related scientists,masters,SE_field,asian,21000
Social and related scientists,masters,SE_field,black_afri_amer,18000
Social and related scientists,masters,SE_field,nat_hawaii_pacific_islander,NA
Social and related scientists,masters,SE_field,white,177000
Social and related scientists,masters,SE_field,multi_race,6000
Engineers,masters,SE_field,hisp_lat,42000
Engineers,masters,SE_field,amer_ind_alaskan,NA
Engineers,masters,SE_field,asian,148000
Engineers,masters,SE_field,black_afri_amer,25000
Engineers,masters,SE_field,nat_hawaii_pacific_islander,2000
Engineers,masters,SE_field,white,392000
Engineers,masters,SE_field,multi_race,10000
S&E-related occupations,masters,SE_field,hisp_lat,175000
S&E-related occupations,masters,SE_field,amer_ind_alaskan,NA
S&E-related occupations,masters,SE_field,asian,278000
S&E-related occupations,masters,SE_field,black_afri_amer,176000
S&E-related occupations,masters,SE_field,nat_hawaii_pacific_islander,2000
S&E-related occupations,masters,SE_field,white,1641000
S&E-related occupations,masters,SE_field,multi_race,52000
Non-S&E occupations,masters,SE_field,hisp_lat,842000
Non-S&E occupations,masters,SE_field,amer_ind_alaskan,NA
Non-S&E occupations,masters,SE_field,asian,678000
Non-S&E occupations,masters,SE_field,black_afri_amer,883000
Non-S&E occupations,masters,SE_field,nat_hawaii_pacific_islander,17000
Non-S&E occupations,masters,SE_field,white,6848000
Non-S&E occupations,masters,SE_field,multi_race,201000
S&E occupations,doctorate,SE_field,hisp_lat,49000
S&E occupations,doctorate,SE_field,amer_ind_alaskan,1000
S&E occupations,doctorate,SE_field,asian,243000
S&E occupations,doctorate,SE_field,black_afri_amer,40000
S&E occupations,doctorate,SE_field,nat_hawaii_pacific_islander,NA
S&E occupations,doctorate,SE_field,white,596000
S&E occupations,doctorate,SE_field,multi_race,10000
"Biological, agricultural, and other life scientists",doctorate,SE_field,hisp_lat,12000
"Biological, agricultural, and other life scientists",doctorate,SE_field,amer_ind_alaskan,NA
"Biological, agricultural, and other life scientists",doctorate,SE_field,asian,86000
"Biological, agricultural, and other life scientists",doctorate,SE_field,black_afri_amer,5000
"Biological, agricultural, and other life scientists",doctorate,SE_field,nat_hawaii_pacific_islander,NA
"Biological, agricultural, and other life scientists",doctorate,SE_field,white,149000
"Biological, agricultural, and other life scientists",doctorate,SE_field,multi_race,2000
Computer and mathematical scientists,doctorate,SE_field,hisp_lat,7000
Computer and mathematical scientists,doctorate,SE_field,amer_ind_alaskan,NA
Computer and mathematical scientists,doctorate,SE_field,asian,68000
Computer and mathematical scientists,doctorate,SE_field,black_afri_amer,8000
Computer and mathematical scientists,doctorate,SE_field,nat_hawaii_pacific_islander,NA
Computer and mathematical scientists,doctorate,SE_field,white,105000
Computer and mathematical scientists,doctorate,SE_field,multi_race,1000
Physical and related scientists,doctorate,SE_field,hisp_lat,6000
Physical and related scientists,doctorate,SE_field,amer_ind_alaskan,NA
Physical and related scientists,doctorate,SE_field,asian,26000
Physical and related scientists,doctorate,SE_field,black_afri_amer,2000
Physical and related scientists,doctorate,SE_field,nat_hawaii_pacific_islander,NA
Physical and related scientists,doctorate,SE_field,white,86000
Physical and related scientists,doctorate,SE_field,multi_race,1000
Social and related scientists,doctorate,SE_field,hisp_lat,17000
Social and related scientists,doctorate,SE_field,amer_ind_alaskan,NA
Social and related scientists,doctorate,SE_field,asian,13000
Social and related scientists,doctorate,SE_field,black_afri_amer,22000
Social and related scientists,doctorate,SE_field,nat_hawaii_pacific_islander,NA
Social and related scientists,doctorate,SE_field,white,177000
Social and related scientists,doctorate,SE_field,multi_race,4000
Engineers,doctorate,SE_field,hisp_lat,6000
Engineers,doctorate,SE_field,amer_ind_alaskan,NA
Engineers,doctorate,SE_field,asian,49000
Engineers,doctorate,SE_field,black_afri_amer,3000
Engineers,doctorate,SE_field,nat_hawaii_pacific_islander,NA
Engineers,doctorate,SE_field,white,79000
Engineers,doctorate,SE_field,multi_race,2000
S&E-related occupations,doctorate,SE_field,hisp_lat,35000
S&E-related occupations,doctorate,SE_field,amer_ind_alaskan,NA
S&E-related occupations,doctorate,SE_field,asian,89000
S&E-related occupations,doctorate,SE_field,black_afri_amer,NA
S&E-related occupations,doctorate,SE_field,nat_hawaii_pacific_islander,NA
S&E-related occupations,doctorate,SE_field,white,216000
S&E-related occupations,doctorate,SE_field,multi_race,12000
Non-S&E occupations,doctorate,SE_field,hisp_lat,54000
Non-S&E occupations,doctorate,SE_field,amer_ind_alaskan,NA
Non-S&E occupations,doctorate,SE_field,asian,92000
Non-S&E occupations,doctorate,SE_field,black_afri_amer,85000
Non-S&E occupations,doctorate,SE_field,nat_hawaii_pacific_islander,NA
Non-S&E occupations,doctorate,SE_field,white,522000
Non-S&E occupations,doctorate,SE_field,multi_race,9000
S&E occupations,professional,SE_field,hisp_lat,8000
S&E occupations,professional,SE_field,amer_ind_alaskan,NA
S&E occupations,professional,SE_field,asian,14000
S&E occupations,professional,SE_field,black_afri_amer,NA
S&E occupations,professional,SE_field,nat_hawaii_pacific_islander,NA
S&E occupations,professional,SE_field,white,38000
S&E occupations,professional,SE_field,multi_race,2000
"Biological, agricultural, and other life scientists",professional,SE_field,hisp_lat,1000
"Biological, agricultural, and other life scientists",professional,SE_field,amer_ind_alaskan,NA
"Biological, agricultural, and other life scientists",professional,SE_field,asian,7000
"Biological, agricultural, and other life scientists",professional,SE_field,black_afri_amer,NA
"Biological, agricultural, and other life scientists",professional,SE_field,nat_hawaii_pacific_islander,NA
"Biological, agricultural, and other life scientists",professional,SE_field,white,6000
"Biological, agricultural, and other life scientists",professional,SE_field,multi_race,NA
Computer and mathematical scientists,professional,SE_field,hisp_lat,NA
Computer and mathematical scientists,professional,SE_field,amer_ind_alaskan,NA
Computer and mathematical scientists,professional,SE_field,asian,NA
Computer and mathematical scientists,professional,SE_field,black_afri_amer,NA
Computer and mathematical scientists,professional,SE_field,nat_hawaii_pacific_islander,NA
Computer and mathematical scientists,professional,SE_field,white,6000
Computer and mathematical scientists,professional,SE_field,multi_race,NA
Physical and related scientists,professional,SE_field,hisp_lat,NA
Physical and related scientists,professional,SE_field,amer_ind_alaskan,NA
Physical and related scientists,professional,SE_field,asian,NA
Physical and related scientists,professional,SE_field,black_afri_amer,NA
Physical and related scientists,professional,SE_field,nat_hawaii_pacific_islander,NA
Physical and related scientists,professional,SE_field,white,NA
Physical and related scientists,professional,SE_field,multi_race,NA
Social and related scientists,professional,SE_field,hisp_lat,5000
Social and related scientists,professional,SE_field,amer_ind_alaskan,NA
Social and related scientists,professional,SE_field,asian,3000
Social and related scientists,professional,SE_field,black_afri_amer,NA
Social and related scientists,professional,SE_field,nat_hawaii_pacific_islander,NA
Social and related scientists,professional,SE_field,white,23000
Social and related scientists,professional,SE_field,multi_race,NA
Engineers,professional,SE_field,hisp_lat,NA
