field,DegreeLevel,SE_type,ethnicity_race,count
Engineers,masters,SE_field,black_afri_amer,37000
Engineers,masters,SE_field,nat_hawaii_pacific_islander,NA
Engineers,masters,SE_field,white,396000
Engineers,masters,SE_field,multi_race,16000
S&E-related occupations,masters,SE_field,hisp_lat,281000
S&E-related occupations,masters,SE_field,amer_ind_alaskan,7000
S&E-related occupations,masters,SE_field,asian,421000
S&E-related occupations,masters,SE_field,black_afri_amer,281000
S&E-related occupations,masters,SE_field,nat_hawaii_pacific_islander,3000
S&E-related occupations,masters,SE_field,white,1980000
S&E-related occupations,masters,SE_field,multi_race,87000
Non-S&E occupations,masters,SE_field,hisp_lat,1053000
Non-S&E occupations,masters,SE_field,amer_ind_alaskan,18000
Non-S&E occupations,masters,SE_field,asian,862000
Non-S&E occupations,masters,SE_field,black_afri_amer,995000
Non-S&E occupations,masters,SE_field,nat_hawaii_pacific_islander,NA
Non-S&E occupations,masters,SE_field,white,6906000
Non-S&E occupations,masters,SE_field,multi_race,228000
S&E occupations,doctorate,SE_field,hisp_lat,80000
S&E occupations,doctorate,SE_field,amer_ind_alaskan,NA
S&E occupations,doctorate,SE_field,asian,273000
S&E occupations,doctorate,SE_field,black_afri_amer,38000
S&E occupations,doctorate,SE_field,nat_hawaii_pacific_islander,1000
S&E occupations,doctorate,SE_field,white,584000
S&E occupations,doctorate,SE_field,multi_race,19000
"Biological, agricultural, and other life scientists",doctorate,SE_field,hisp_lat,27000
"Biological, agricultural, and other life scientists",doctorate,SE_field,amer_ind_alaskan,NA
"Biological, agricultural, and other life scientists",doctorate,SE_field,asian,73000
"Biological, agricultural, and other life scientists",doctorate,SE_field,black_afri_amer,7000
"Biological, agricultural, and other life scientists",doctorate,SE_field,nat_hawaii_pacific_islander,NA
"Biological, agricultural, and other life scientists",doctorate,SE_field,white,160000
"Biological, agricultural, and other life scientists",doctorate,SE_field,multi_race,4000
Computer and mathematical scientists,doctorate,SE_field,hisp_lat,15000
Computer and mathematical scientists,doctorate,SE_field,amer_ind_alaskan,NA
Computer and mathematical scientists,doctorate,SE_field,asian,78000
Computer and mathematical scientists,doctorate,SE_field,black_afri_amer,5000
Computer and mathematical scientists,doctorate,SE_field,nat_hawaii_pacific_islander,NA
Computer and mathematical scientists,doctorate,SE_field,white,109000
Computer and mathematical scientists,doctorate,SE_field,multi_race,3000
Physical and related scientists,doctorate,SE_field,hisp_lat,6000
Physical and related scientists,doctorate,SE_field,amer_ind_alaskan,NA
Physical and related scientists,doctorate,SE_field,asian,23000
Physical and related scientists,doctorate,SE_field,black_afri_amer,2000
Physical and related scientists,doctorate,SE_field,nat_hawaii_pacific_islander,NA
Physical and related scientists,doctorate,SE_field,white,94000
Physical and related scientists,doctorate,SE_field,multi_race,NA
Social and related scientists,doctorate,SE_field,hisp_lat,17000
Social and related scientists,doctorate,SE_field,amer_ind_alaskan,NA
Social and related scientists,doctorate,SE_field,asian,29000
Social and related scientists,doctorate,SE_field,black_afri_amer,18000
Social and related scientists,doctorate,SE_field,nat_hawaii_pacific_islander,NA
Social and related scientists,doctorate,SE_field,white,131000
Social and related scientists,doctorate,SE_field,multi_race,7000
Engineers,doctorate,SE_field,hisp_lat,15000
Engineers,doctorate,SE_field,amer_ind_alaskan,NA
Engineers,doctorate,SE_field,asian,70000
Engineers,doctorate,SE_field,black_afri_amer,6000
Engineers,doctorate,SE_field,nat_hawaii_pacific_islander,NA
Engineers,doctorate,SE_field,white,90000
Engineers,doctorate,SE_field,multi_race,4000
S&E-related occupations,doctorate,SE_field,hisp_lat,41000
S&E-related occupations,doctorate,SE_field,amer_ind_alaskan,NA
S&E-related occupations,doctorate,SE_field,asian,122000
S&E-related occupations,doctorate,SE_field,black_afri_amer,60000
S&E-related occupations,doctorate,SE_field,nat_hawaii_pacific_islander,NA
S&E-related occupations,doctorate,SE_field,white,338000
S&E-related occupations,doctorate,SE_field,multi_race,13000
Non-S&E occupations,doctorate,SE_field,hisp_lat,74000
Non-S&E occupations,doctorate,SE_field,amer_ind_alaskan,NA
Non-S&E occupations,doctorate,SE_field,asian,100000
Non-S&E occupations,doctorate,SE_field,black_afri_amer,106000
Non-S&E occupations,doctorate,SE_field,nat_hawaii_pacific_islander,NA
Non-S&E occupations,doctorate,SE_field,white,611000
Non-S&E occupations,doctorate,SE_field,multi_race,24000
S&E occupations,professional,SE_field,hisp_lat,NA
S&E occupations,professional,SE_field,amer_ind_alaskan,NA
S&E occupations,professional,SE_field,asian,12000
S&E occupations,professional,SE_field,black_afri_amer,NA
S&E occupations,professional,SE_field,nat_hawaii_pacific_islander,NA
S&E occupations,professional,SE_field,white,42000
S&E occupations,professional,SE_field,multi_race,NA
"Biological, agricultural, and other life scientists",professional,SE_field,hisp_lat,1000
"Biological, agricultural, and other life scientists",professional,SE_field,amer_ind_alaskan,NA
"Biological, agricultural, and other life scientists",professional,SE_field,asian,8000
"Biological, agricultural, and other life scientists",professional,SE_field,black_afri_amer,NA
"Biological, agricultural, and other life scientists",professional,SE_field,nat_hawaii_pacific_islander,NA
"Biological, agricultural, and other life scientists",professional,SE_field,white,14000
"Biological, agricultural, and other life scientists",professional,SE_field,multi_race,NA
Computer and mathematical scientists,professional,SE_field,hisp_lat,NA
Computer and mathematical scientists,professional,SE_field,amer_ind_alaskan,NA
Computer and mathematical scientists,professional,SE_field,asian,3000
Computer and mathematical scientists,professional,SE_field,black_afri_amer,NA
Computer and mathematical scientists,professional,SE_field,nat_hawaii_pacific_islander,NA
Computer and mathematical scientists,professional,SE_field,white,12000
Computer and mathematical scientists,professional,SE_field,multi_race,NA
Physical and related scientists,professional,SE_field,hisp_lat,NA
Physical and related scientists,professional,SE_field,amer_ind_alaskan,NA
Physical and related scientists,professional,SE_field,asian,NA
Physical and related scientists,professional,SE_field,black_afri_amer,NA
Physical and related scientists,professional,SE_field,nat_hawaii_pacific_islander,NA
Physical and related scientists,professional,SE_field,white,NA
Physical and related scientists,professional,SE_field,multi_race,NA
Social and related scientists,professional,SE_field,hisp_lat,NA
Social and related scientists,professional,SE_field,amer_ind_alaskan,NA
Social and related scientists,professional,SE_field,asian,NA
Social and related scientists,professional,SE_field,black_afri_amer,2000
Social and related scientists,professional,SE_field,nat_hawaii_pacific_islander,NA
Social and related scientists,professional,SE_field,white,14000
Social and related scientists,professional,SE_field,multi_race,NA
Engineers,professional,SE_field,hisp_lat,NA
Engineers,professional,SE_field,amer_ind_alaskan,NA
Engineers,professional,SE_field,asian,NA
Engineers,professional,SE_field,black_afri_amer,NA
Engineers,professional,SE_field,nat_hawaii_pacific_islander,NA
Engineers,professional,SE_field,white,NA
Engineers,professional,SE_field,multi_race,NA
S&E-related occupations,professional,SE_field,hisp_lat,130000
S&E-related occupations,professional,SE_field,amer_ind_alaskan,1000
S&E-related occupations,professional,SE_field,asian,361000
S&E-related occupations,professional,SE_field,black_afri_amer,95000
S&E-related occupations,professional,SE_field,nat_hawaii_pacific_islander,NA
S&E-related occupations,professional,SE_field,white,1112000
S&E-related occupations,professional,SE_field,multi_race,63000
Non-S&E occupations,professional,SE_field,hisp_lat,170000
Non-S&E occupations,professional,SE_field,amer_ind_alaskan,NA
Non-S&E occupations,professional,SE_field,asian,102000
Non-S&E occupations,professional,SE_field,black_afri_amer,125000
Non-S&E occupations,professional,SE_field,nat_hawaii_pacific_islander,NA
Non-S&E occupations,professional,SE_field,white,1230000
Non-S&E occupations,professional,SE_field,multi_race,65000
